2440,812095
1803,213704
2392,4787
2111,520
2102,100
543,1013887
2352,3967
2087,895
2328,21099
1912,39963
2142,33478
2045,48110
2002,4224
8,16785875
2302,27700
1853,4187
1798,87966
2143,17218
1910,11704
2082,28216
2092,4694
1903,1334915
1982,11712
1818,10363
747,17225546
2054,38502
2025,5894
2304,37338
2117,129686
2461,7466
2133,190327
2044,59967
1889,63666
2389,23963
2194,37541
2433,29027
1801,14479
2104,5508
2174,23618
2011,146414
2379,104502
2129,664607
166,20681
2029,13145
753,66881
2089,5126
2058,6694
2468,1838
2179,836
2417,584842
2423,40105
2254,9331
2402,970469
2380,142760
1966,11560
2344,34324
2442,5596
2,359677
2145,34410
2324,83713
2144,8359
2331,1033418
2283,59781
2457,74918
2448,48755
1954,117996
1802,70534
2067,20227
508,59211
2395,2057255
2248,17588
2038,31111
1933,19072
503,26819131
2229,44980
176,26833003
2118,130594
2031,128459
645,26891634
2160,210495
1859,31023
2039,42033
2155,5196
2422,134853
1837,26874
1825,16133
2374,23302
1784,4471
1973,28262
2432,10020
2303,33136
2467,4572
2320,282401
2393,52324
2330,327198
2329,18471
2220,24319
2445,12308
1823,593
1957,20236
2063,3813
1980,2884
2401,376763
2260,83255
2459,33749
1814,109138
1847,26180
1962,13245
2136,683503
1872,176255
1892,1765859
1863,4618
2430,91335
2225,126798
1861,39595
1788,2428
2301,54672
2141,58719
2188,6
2200,2223489
1913,103759
2034,25686
1971,18932
2035,16195
2450,20296
2252,15817
2447,836331
2264,119436
2096,1413
2237,4700
2148,263106
1978,232441
2046,14775
2319,14576
2099,8628
2385,671074
2262,183791
1824,31432
2020,55084
2230,27946
1886,99279
2093,6484
2208,12111
2469,1849
1995,288902
2343,176340
2139,699128
1830,25637
2386,1659035
2290,126138
2005,2944
2109,12564
2409,25420
2023,53303
2075,16924
2019,129433
1791,34845
2258,60795
2095,4306
1938,2170
14,418270
2166,223999
2217,81061
2081,32672
1865,21616
2122,5802
2074,212873
1869,278367
2425,121139
216,1
1974,177447
2151,196266
2391,43040
1932,29191
2233,46650
1922,56064
2150,263688
1917,35511
1914,10299
2103,990
2187,5417
1906,53425
2311,2586
2271,4002
547,82
701,26891393
1946,304308
2292,182519
2127,1050385
2337,123805
2249,58027
2272,4174
372,6165401
1907,26275
2105,13807
2125,16501
2411,862825
1981,382807
2132,141287
1941,21186
1996,328926
2454,29003
1796,78603
1881,20637
2053,27102
1992,113616
2211,10613
1780,46182
2372,32250
1871,41497
2135,36681
2108,5197
2167,34066
582,26891693
2307,515320
2161,425504
2273,89962
2169,421898
151,6115
2189,11236
2381,193313
1852,4652
2280,24210
1797,3243
2073,84156
338,477918
2008,155184
2274,182043
2055,350020
2428,84333
2042,5120
1868,86029
1965,28048
1848,19973
1927,5710
2421,297278
1961,1223
1828,20783
1943,21008
2465,15291
1878,8038
1841,8905
2028,1345656
2340,610830
1874,24192
2363,25722
2057,31145
1901,1481807
1993,312958
300,29751
2407,15270
444,26818864
1792,33440
1989,293254
2216,56896
2284,156097
2065,6894
1939,21120
2094,2040
2398,668967
2128,307377
1916,18978
2368,5703
640,44
2388,63731
2462,26761
2152,83198
2326,12519
2083,37190
2245,9781
545,26891695
1904,42406
2138,705456
2032,38825
2345,980
2156,5208
2399,906499
534,2290
2313,4575
2068,336711
2408,27706
1835,8791
2295,203614
1844,9712
2239,20500
1834,39199
2387,80579
2000,53334
2001,3414
2267,255349
2078,25685
1839,42962
2091,2109
2375,277385
2446,535494
2049,28579
2279,16472
2321,548266
2048,38135
1860,30763
1870,14189
2361,5069
2243,10976
2327,79216
2269,305916
1883,21189
1985,20750
2342,6843
1990,143287
2332,51904
317,72631
2060,10215
2146,90087
2427,201751
1952,26516
757,2
2213,127721
1819,79277
2246,14469
2123,19138
2126,44588
1929,29849
625,5
2236,15339
1851,453
2159,359854
1827,14840
2431,1720
751,4
1854,7374
458,25858635
1836,43737
2218,66679
2121,5761
456,321
2203,2061284
1843,34161
2015,192201
